,index,Title,Directors,Cast,Country,Gross,Year
0,0,The Abandoned,Eytan Rockaway,Jason Patric,United States,850000.0,2015
1,1,Alena,Daniel di Grado,"Amalia Holm Bjelket, Felice Jankell, Rebecka Nyman",Sweden,,2015
2,2,The Atticus Institute,Chris Sparling,Rya Kihlstedt,United States,,2015
3,3,Be My Cat: A Film for Anne,Adrian Țofei,"Adrian Țofei, Sonia Teodoriu, Florentina Hariton, Alexandra Stroe",Romania,,2015
4,4,The Blackcoat's Daughter,The Blackcoat's Daughter,Osgood Perkins,Kiernan Shipka,38348.0,2015
5,5,Bound to Vengeance,José Manuel Cravioto,Tina Ivlev,United States,,2015
6,6,The Bride,Lingo Hsieh,Wu Kang-ren,Taiwan,,2015
7,7,"Bullets, Fangs and Dinner at 8",Matthew Rocca,Garrett Schweighauser,United States,5500000.0,2015
8,8,Corpse Party,Masafumi Yamada,Rina Ikoma,Japan,,2015
9,9,Crimson Peak,Guillermo del Toro,Mia Wasikowska,United States,,2015
10,10,Dead Rising: Watchtower,"Tim Carter, Zack Lipovsky",Jesse Metcalfe,United States,,2015
11,11,Deathgasm,Jason Lei Howden,Milo Cawthorne,New Zealand,3000000.0,2015
12,12,Demonic,Will Canon,Maria Bello,United States,8000000.0,2015
13,13,Extinction,Miguel Ángel Vivas,Matthew Fox,Hungary,4500000.0,2015
14,14,The Final Girls,Todd Strauss-Schulson,Nina Dobrev,United States,100000.0,2015
15,15,The Gallows,Chris Loffing,Reese Mishler,United States,57200000.0,2015
16,16,Ghost Theater,Hideo Nakata,Haruka Shimazaki,Japan,5000000.0,2015
17,17,The Gift,Joel Edgerton,Jason Bateman,United States,84000000.0,2015
18,18,Goosebumps,Rob Letterman,Jack Black,United States,,2015
19,19,He Never Died,Jason Krawczyk,Henry Rollins,Canada,,2015
20,20,Hellions,Bruce McDonald,Chloe Rose,Canada,11000000.0,2015
21,21,Insidious: Chapter 3,Leigh Whannell,Stefanie Scott,United States,1000000.0,2015
22,22,The Invitation,Karyn Kusama,Logan Marshall-Green,United States,,2015
23,23,Ju-on: The Final,Masayuki Ochiai,Airi Taira,Japan,15000000.0,2015
24,24,Krampus,Michael Dougherty,Adam Scott,United States,,2015
25,25,Lavalantula,Mike Mendez,Steve Guttenberg,United States,,2015
26,26,Krampus: The Reckoning,Robert Conway,"James Ray, Monica Engesser, Amelia Haberman
",United States,3300000.0,2015
27,27,The Lazarus Effect,David Gelb,Olivia Wilde,United States,1400000.0,2015
28,28,Maggie,Henry Hobson,Arnold Schwarzenegger,United States,20000000.0,2015
29,29,Maya,Jawad Bashir,"Ahmed Abdul Rehman, Hina Jawad, Zain Afzal,",Pakistan,870000.0,2015
30,30,Monsters,Guo Hua,"Liu Qing, Zhou Haodong, Wu Yanyan",China,10000000.0,2015
31,31,Paranormal Activity: The Ghost Dimension,Gregory Plotkin,Olivia Taylor Dudley,United States,3500000.0,2015
32,32,Poltergeist,Gil Kenan,Sam Rockwell,United States,,2015
33,33,Rorschach,C.A. Smith,"Ashlynn Allen, Ricky Lee Barnes, Ross Compton",United States,15000000.0,2015
34,34,Scouts Guide to the Zombie Apocalypse,Christopher B. Landon,Tye Sheridan,United States,2400000.0,2015
35,35,Sharknado 3: Oh Hell No!,Anthony Ferrante,Ian Ziering,United States,10000000.0,2015
36,36,Sinister 2,Foy Ciaran,James Ransone,United States,,2015
37,37,Stung,Benjamin Diez,Matt O'Leary,Germany,1800000.0,2015
38,38,The Tag-Along,Cheng Wei-hao,Hsu Wei-ning,Taiwan,,2015
39,39,Tales of Halloween,"Neil Marshall, Darren Lynn Bousman, Axelle Carolyn",Grace Phipps,United States,2627343.0,2015
40,40,Tremors 5: Bloodlines,Don Michael Paul,Michael Gross,United States,5000000.0,2015
41,41,The Visit,M. Night Shyamalan,Kathryn Hahn,United States,,2015
42,42,Volumes of Blood,[various directors],,United States,,2015
43,43,We Are Still Here,Ted Geoghegan,Barbara Crampton,United States,,2015
44,44,The Witch,Robert Eggers,Ralph Ineson,United States,4000000.0,2015
45,45,The Woman in Black 2: Angel of Death,Tom Harper,Phoebe Fox,Canada,15000000.0,2015
46,46,Z Island,Hiroshi Shinagawa,Show Aikawa,Japan,23000000.0,2015
47,47,Antibirth,Danny Perez,Natasha Lyonne,United States,,2016
48,48,The Autopsy of Jane Doe,André Øvredal,Brian Cox,United States,6000000.0,2016
49,49,Bedeviled,The Vang Brothers,Saxon Sharbino,United States,,2016
50,50,The Belko Experiment,Greg McLean,John Gallagher Jr.,United States,5000000.0,2016
51,51,Blair Witch,Adam Wingard,James Allen McCune,United States,5000000.0,2016
52,52,Blood of the Tribades,"Sophia Cacciola, Michael J. Epstein","Chloé Cunha, Mary Widow, Seth Chatfield",United States,,2016
53,53,The Boy,William Brent Bell,Lauren Cohan,United States,10000000.0,2016
54,54,The Blackout Experiments,Rich Fox,Josh Randall,United States,,2016
55,55,Cabin Fever,Travis Zariwny,Gage Golightly,United States,39065.0,2016
56,56,Cell,Tod Williams,John Cusack,United States,1000000.0,2016
57,57,The Conjuring 2,James Wan,Vera Farmiga,United States,40000000.0,2016
58,58,The Darkness,Greg McLean,Kevin Bacon,United States,4000000.0,2016
59,59,Dead 7,Danny Roew,A. J. McLean,United States,,2016
60,60,The Devil's Dolls,Padraig Reynolds,Christopher Wiehl,United States,,2016
61,61,Don't Breathe,Fede Álvarez,Jane Levy,United States,9900000.0,2016
62,62,Don't Kill It,Mike Mendez,Dolph Lundgren,United States,1000000.0,2016
63,63,The Eyes of My Mother,Nicolas Pesce,"Diana Agostini, Olivia Bond, ",United States,300000.0,2016
64,64,The Faith of Anna Waters,Kelvin Tong,Elizabeth Rice,Singapore,,2016
65,65,Fender Bender,Mark Pavia,Makenzie Vega,United States,,2016
66,66,The Forest,Jason Zada,Natalie Dormer,United States,10000000.0,2016
67,67,Holidays,Various,,United States,,2016
68,68,Home,Frank Lin,Heather Langenkamp,United States,,2016
69,69,Hush,Mike Flanagan,"John Gallagher, Jr.",United States,1000000.0,2016
70,70,I Am the Pretty Thing That Lives in the House,Osgood Perkins,Ruth Wilson,United States,,2016
71,71,Krampus Unleashed,Robert Conway,"Amelia Brantley, Bryson Holl, Caroline Lassetter",United States,4900000.0,2016
72,72,Lights Out,David F. Sandberg,Teresa Palmer,United States,2350000.0,2016
73,73,The Limehouse Golem,Juan Carlos Medina,Olivia Cooke,United Kingdom,246218.0,2016
74,74,The Love Witch,Anna Biller,Samantha Robinson,United States,397072.0,2016
75,75,Martyrs,"Kevin Goetz, Michael Goetz",Troian Bellisario,United States,8000000.0,2016
76,76,Morgan,Luke Scott,Kate Mara,United States,7000000.0,2016
77,77,The Neon Demon,Nicolas Winding Refn,Elle Fanning,Denmark,5000000.0,2016
78,78,The Other Side of the Door,Johannes Roberts,Sarah Wayne Callies,India,12000000.0,2016
79,79,Ouija: Origin of Evil,Mike Flanagan,Annalise Basso,United States,,2016
80,80,Phantasm: Ravager,David Hartman,Reggie Bannister,United States,,2016
81,81,Pool Party Massacre,Drew Marvick,"LeeAnna Vamp, Mark Justice, Alexis Adams",United States,28000000.0,2016
82,82,Pride and Prejudice and Zombies,Burr Steers,Lily James,United States,1000000.0,2016
83,83,The Purge: Election Year,James DeMonaco,Frank Grillo,United States,3480000.0,2016
84,84,Raw,Julia Ducournau,Garance Marillier,France,8385267.0,2016
85,85,Sadako vs. Kayako,Koji Shiraishi,Mizuki Yamamoto,Japan,9000000.0,2016
86,86,Split,M. Night Shyamalan,James McAvoy,United States,,2016
87,87,"Sweet, Sweet Lonely Girl",A.D. Calvo,Erin Wilhelmi,United States,8500000.0,2016
88,88,Train to Busan,Yeon Sang-ho,Gong Yoo,South Korea,126642.0,2016
89,89,Under the Shadow,Babak Anvari,Narges Rashidi,Iran,4000000.0,2016
90,90,The Veil,Phil Joanou,Jessica Alba,United States,149365.0,2016
91,91,The Void,"Steven Kostanski, Jeremy Gillespie",Ellen Wong,Canada,,2016
92,92,Volumes of Blood: Horror Stories,[various directors],,United States,8000000.0,2016
93,93,The Wailing,Na Hong-jin,Kwak Do-won,South Korea,,2016
94,94,What We Become,Bo Mikkelson,Troels Lyby,Denmark,,2016
95,95,We Are the Flesh,Emiliano Rocha Minter,Noé Hernández,Mexico,,2016
96,96,Without Name,Lorcan Finnegan,"Alan McKenna, ",Ireland,,2016
